dsgdb9nsd_000001	C
dsgdb9nsd_000113	N=COC=O
dsgdb9nsd_000114	O=CNC=O
dsgdb9nsd_000115	CC#CC#C
dsgdb9nsd_000116	CC#CC#N
dsgdb9nsd_000117	CC#CC=O
dsgdb9nsd_000118	CC#CCO
dsgdb9nsd_000119	CCC#CC
dsgdb9nsd_000120	COC=NC
dsgdb9nsd_000121	CCCC#C
dsgdb9nsd_000122	CCCC#N
dsgdb9nsd_000123	CNCC#N
dsgdb9nsd_000124	COCC#C
dsgdb9nsd_000125	COCC#N
dsgdb9nsd_000126	OCCC#C
dsgdb9nsd_000127	OCCC#N
dsgdb9nsd_000128	CCCC=O
dsgdb9nsd_000129	CCNC=O
dsgdb9nsd_000130	CCOC=O
dsgdb9nsd_000131	COCC=O
dsgdb9nsd_000132	OCCC=O
dsgdb9nsd_000137	COCCO
dsgdb9nsd_000138	OCCCO
dsgdb9nsd_000139	C#CC1CC1
dsgdb9nsd_000140	C#CC1CN1
dsgdb9nsd_000141	C#CC1CO1
dsgdb9nsd_000142	N#CC1CC1
dsgdb9nsd_000143	N#CC1CN1
dsgdb9nsd_000144	N#CC1CO1
dsgdb9nsd_000145	O=CC1CC1
dsgdb9nsd_000146	O=CC1CN1
dsgdb9nsd_000147	O=CC1CO1
dsgdb9nsd_000148	O=CN1CC1
dsgdb9nsd_000150	CCC1CO1
dsgdb9nsd_000151	CCN1CC1
dsgdb9nsd_000152	COC1CC1
dsgdb9nsd_000153	OCC1CC1
dsgdb9nsd_000154	OCC1CN1
dsgdb9nsd_000155	OCC1CO1
dsgdb9nsd_000156	C1CC=CC1
dsgdb9nsd_000157	C1CN=CO1
dsgdb9nsd_000158	C1OCC=C1
dsgdb9nsd_000160	C1CCOC1
dsgdb9nsd_000161	C1COCO1
dsgdb9nsd_000162	C1C2CCC12
dsgdb9nsd_000163	C1C2COC12
dsgdb9nsd_000164	C1CC2OC12
dsgdb9nsd_000165	N1C=CC=N1
dsgdb9nsd_000166	N1C=CN=N1
dsgdb9nsd_000167	N1C=NC=N1
dsgdb9nsd_000168	N1C=NN=C1
dsgdb9nsd_000169	N1N=CC=N1
dsgdb9nsd_000170	O1C=CC=N1
dsgdb9nsd_000171	O1C=CN=N1
dsgdb9nsd_000172	O1C=NC=N1
dsgdb9nsd_000173	O1C=NN=C1
dsgdb9nsd_000174	O1C=NN=N1
dsgdb9nsd_000175	O1N=CC=N1
dsgdb9nsd_000176	O1N=CN=N1
dsgdb9nsd_000177	O1N=NN=N1
dsgdb9nsd_000178	CC(=NO)C#C
dsgdb9nsd_000179	CC(CO)=NO
dsgdb9nsd_000181	ON=C1CCC1
dsgdb9nsd_000182	ON=C1CNC1
dsgdb9nsd_000183	ON=C1COC1
dsgdb9nsd_000184	FC(F)(F)F
dsgdb9nsd_000187	O=C1NC=CN1
dsgdb9nsd_000188	O=C1NC=CO1
dsgdb9nsd_000189	O=C1OC=CO1
dsgdb9nsd_000190	CC1=CC=CN1
dsgdb9nsd_000191	CC1=CC=CO1
dsgdb9nsd_000192	CC1=CN=CO1
dsgdb9nsd_000193	CC1=NC=CO1
dsgdb9nsd_000194	NC1=CC=CN1
dsgdb9nsd_000195	NC1=CC=CO1
dsgdb9nsd_000196	NC1=CN=CO1
dsgdb9nsd_000197	NC1=NC=CO1
dsgdb9nsd_000198	OC1=CC=CN1
dsgdb9nsd_000199	OC1=CN=CN1
dsgdb9nsd_000200	OC1=NC=CN1
dsgdb9nsd_000201	CC1=CNC=C1
dsgdb9nsd_000202	CC1=CNC=N1
dsgdb9nsd_000203	CC1=COC=C1
dsgdb9nsd_000204	CC1=COC=N1
dsgdb9nsd_000205	NC1=CNC=C1
dsgdb9nsd_000206	NC1=CNC=N1
dsgdb9nsd_000207	NC1=COC=C1
dsgdb9nsd_000208	NC1=COC=N1
dsgdb9nsd_000209	OC1=CNC=C1
dsgdb9nsd_000210	OC1=CNC=N1
dsgdb9nsd_000211	OC1=COC=N1
dsgdb9nsd_000212	CN1C=CC=C1
dsgdb9nsd_000213	CN1C=CN=C1
dsgdb9nsd_000214	C1=CC=CC=C1
dsgdb9nsd_000215	C1=CC=NC=C1
dsgdb9nsd_000216	C1=CN=CC=N1
dsgdb9nsd_000217	C1=CN=CN=C1
dsgdb9nsd_000218	C1=NC=NC=N1
dsgdb9nsd_000221	CC(C)(N)C#N
dsgdb9nsd_000222	CC(C)(O)C#C
dsgdb9nsd_000223	CC(C)(O)C#N
dsgdb9nsd_000225	CC(C)(O)C=O
dsgdb9nsd_000231	CC#CC(C)=O
dsgdb9nsd_000232	CC#CC(N)=O
dsgdb9nsd_000234	CC#CC(C)O
dsgdb9nsd_000235	CC(=O)CC#C
dsgdb9nsd_000236	CC(=O)CC#N
dsgdb9nsd_000237	NC(=O)CC#C
dsgdb9nsd_000238	NC(=O)CC#N
dsgdb9nsd_000239	CC(=N)NC=O
dsgdb9nsd_000240	CC(=N)OC=O
dsgdb9nsd_000241	CC(=O)CC=O
dsgdb9nsd_000242	CC(=O)NC=N
dsgdb9nsd_000243	CC(=O)NC=O
dsgdb9nsd_000244	CC(=O)OC=N
dsgdb9nsd_000246	NC(=O)CC=O
dsgdb9nsd_000247	NC(=O)NC=N
dsgdb9nsd_000248	NC(=O)NC=O
dsgdb9nsd_000249	NC(=O)OC=N
dsgdb9nsd_000252	CC(O)CC#C
dsgdb9nsd_000253	CC(O)CC#N
dsgdb9nsd_000254	CN(C)CC#N
dsgdb9nsd_000257	CC(C)OC=O
dsgdb9nsd_000258	CC(O)CC=O
dsgdb9nsd_000260	CC(=O)CCO
dsgdb9nsd_000264	CCNC(N)=O
dsgdb9nsd_000265	CCOC(C)=O
dsgdb9nsd_000266	CCOC(N)=O
dsgdb9nsd_000268	COCC(C)=O
dsgdb9nsd_000269	COCC(N)=O
dsgdb9nsd_000270	NC(=O)CCO
dsgdb9nsd_000271	[NH3+]CCC([O-])=O
dsgdb9nsd_000279	CC(=O)C(C)=O
dsgdb9nsd_000281	CC(=O)C(N)=O
dsgdb9nsd_000282	NC(=[NH2+])C([O-])=O
dsgdb9nsd_000283	NC(=O)C(N)=O
dsgdb9nsd_000287	CC(O)C(C)=O
dsgdb9nsd_000288	CC(O)C(N)=O
dsgdb9nsd_000290	CN(C)C(N)=O
dsgdb9nsd_000298	CC1(O)COC1
dsgdb9nsd_000300	CC1(O)CC1O
dsgdb9nsd_000305	CC1CC(=N)O1
dsgdb9nsd_000306	CC1CC(=O)C1
dsgdb9nsd_000307	CC1CC(=O)N1
dsgdb9nsd_000308	CC1CC(=O)O1
dsgdb9nsd_000309	CN1CC(=O)C1
dsgdb9nsd_000310	OC1CC(=O)C1
dsgdb9nsd_000315	OC1CC(O)C1
dsgdb9nsd_000317	CC12CC(C1)O2
dsgdb9nsd_000319	OC12CC(C1)C2
dsgdb9nsd_000320	OC12CN(C1)C2
dsgdb9nsd_000321	O=C(C#C)C#C
dsgdb9nsd_000322	O=C(C#C)C#N
dsgdb9nsd_000323	O=C(C#N)C#N
dsgdb9nsd_000324	O=CC(=O)C#C
dsgdb9nsd_000325	O=CC(=O)C#N
dsgdb9nsd_000326	O=CC(=O)C=O
dsgdb9nsd_000327	CC(C#C)C#C
dsgdb9nsd_000328	CC(C#C)C#N
dsgdb9nsd_000329	CC(C#N)C#N
dsgdb9nsd_000330	NC(C#C)C#N
dsgdb9nsd_000331	NC(C#N)C#N
dsgdb9nsd_000332	OC(C#C)C#C
dsgdb9nsd_000333	OC(C#C)C#N
dsgdb9nsd_000334	OC(C#N)C#N
dsgdb9nsd_000335	CC(C=O)C#C
dsgdb9nsd_000336	CC(C=O)C#N
dsgdb9nsd_000337	OC(C=O)C#C
dsgdb9nsd_000338	OC(C=O)C#N
dsgdb9nsd_000339	CC(C=O)C=O
dsgdb9nsd_000340	CN(C=N)C=O
dsgdb9nsd_000341	CN(C=O)C=O
dsgdb9nsd_000342	OC(C=O)C=O
dsgdb9nsd_000343	CN=C(N)C#N
dsgdb9nsd_000344	CN=C(N)C=O
dsgdb9nsd_000345	CCC(=O)C#C
dsgdb9nsd_000346	CCC(=O)C#N
dsgdb9nsd_000347	CNC(=N)C#N
dsgdb9nsd_000348	CNC(=O)C#C
dsgdb9nsd_000349	COC(=O)C#C
dsgdb9nsd_000350	COC(=O)C#N
dsgdb9nsd_000351	OCC(=O)C#C
dsgdb9nsd_000352	OCC(=O)C#N
dsgdb9nsd_000353	CCC(=O)C=O
dsgdb9nsd_000354	CNC(=N)C=O
dsgdb9nsd_000355	CNC(=O)C=O
dsgdb9nsd_000356	COC(=O)C=O
dsgdb9nsd_000357	OCC(=O)C=O
dsgdb9nsd_000359	CCC(=O)CO
dsgdb9nsd_000361	CCC(=O)OC
dsgdb9nsd_000362	CNC(=O)CO
dsgdb9nsd_000363	CNC(=O)NC
dsgdb9nsd_000364	CNC(=O)OC
dsgdb9nsd_000365	COC(=O)CN
dsgdb9nsd_000366	COC(=O)CO
dsgdb9nsd_000367	OCC(=O)CO
dsgdb9nsd_000369	CC(CO)C#C
dsgdb9nsd_000370	CC(CO)C#N
dsgdb9nsd_000373	CCC(N)C#N
dsgdb9nsd_000374	CCC(O)C#C
dsgdb9nsd_000375	CCC(O)C#N
dsgdb9nsd_000376	CNC(C)C#N
dsgdb9nsd_000377	COC(C)C#C
dsgdb9nsd_000378	COC(C)C#N
dsgdb9nsd_000379	NC(CO)C#N
dsgdb9nsd_000380	NCC(N)C#N
dsgdb9nsd_000381	NCC(O)C#N
dsgdb9nsd_000382	OCC(O)C#C
dsgdb9nsd_000383	OCC(O)C#N
dsgdb9nsd_000384	CC(CO)C=O
dsgdb9nsd_000386	CCC(O)C=O
dsgdb9nsd_000388	COC(C)C=O
dsgdb9nsd_000389	OCC(O)C=O
dsgdb9nsd_000397	OCC(O)CO
dsgdb9nsd_000398	CC1(CC1)C#C
dsgdb9nsd_000399	CC1(CC1)C#N
dsgdb9nsd_000400	CC1(CN1)C#C
dsgdb9nsd_000401	CC1(CN1)C#N
dsgdb9nsd_000402	CC1(CO1)C#C
dsgdb9nsd_000403	CC1(CO1)C#N
dsgdb9nsd_000404	NC1(CC1)C#N
dsgdb9nsd_000405	OC1(CC1)C#C
dsgdb9nsd_000406	OC1(CC1)C#N
dsgdb9nsd_000407	CC1(CC1)C=O
dsgdb9nsd_000408	CC1(CN1)C=O
dsgdb9nsd_000409	CC1(CO1)C=O
dsgdb9nsd_000410	OC1(CC1)C=O
dsgdb9nsd_000413	CC1(CO)CO1
dsgdb9nsd_000418	OCC1(O)CC1
dsgdb9nsd_000419	CC1CCC1=O
dsgdb9nsd_000420	CC1CNC1=O
dsgdb9nsd_000421	CC1COC1=N
dsgdb9nsd_000422	CC1COC1=O
dsgdb9nsd_000423	CC1NCC1=O
dsgdb9nsd_000424	CC1OCC1=O
dsgdb9nsd_000425	CN1CCC1=O
dsgdb9nsd_000426	NC1COC1=N
dsgdb9nsd_000427	NC1COC1=O
dsgdb9nsd_000428	OC1CCC1=O
dsgdb9nsd_000429	OC1CNC1=O
dsgdb9nsd_000430	OC1COC1=N
dsgdb9nsd_000431	OC1COC1=O
dsgdb9nsd_000435	CC1OCC1O
dsgdb9nsd_000436	OC1CCC1O
dsgdb9nsd_000437	N=C1CN=CN1
dsgdb9nsd_000438	O=C1CC=CC1
dsgdb9nsd_000439	O=C1CC=CN1
dsgdb9nsd_000440	O=C1CN=CN1
dsgdb9nsd_000441	O=C1CN=CO1
dsgdb9nsd_000442	N=C1OCC=C1
dsgdb9nsd_000443	O=C1CCC=C1
dsgdb9nsd_000444	O=C1NCC=C1
dsgdb9nsd_000445	N=C1CCCO1
dsgdb9nsd_000446	N=C1COCO1
dsgdb9nsd_000447	N=C1OCCO1
dsgdb9nsd_000448	O=C1CCCC1
dsgdb9nsd_000449	O=C1CCCN1
dsgdb9nsd_000450	O=C1CCCO1
dsgdb9nsd_000451	O=C1CCOC1
dsgdb9nsd_000452	O=C1COCO1
dsgdb9nsd_000453	O=C1NCCN1
dsgdb9nsd_000454	O=C1NCCO1
dsgdb9nsd_000455	O=C1OCCO1
dsgdb9nsd_000457	CC1=CCOC1
dsgdb9nsd_000458	CC1=NCCO1
dsgdb9nsd_000460	CC1CN=CO1
dsgdb9nsd_000461	OC1CC=CC1
dsgdb9nsd_000463	CC1COC=N1
dsgdb9nsd_000464	CC1OCC=C1
dsgdb9nsd_000465	OC1CCC=C1
dsgdb9nsd_000469	CC1COCO1
dsgdb9nsd_000470	CC1OCCO1
dsgdb9nsd_000472	OC1CCOC1
dsgdb9nsd_000476	CC1C(O)C1O
dsgdb9nsd_000477	OC1C(O)C1O
dsgdb9nsd_000479	CC12CC1CO2
dsgdb9nsd_000480	CC12CC1OC2
dsgdb9nsd_000481	CC12CCC1O2
dsgdb9nsd_000482	OC12CC1CC2
dsgdb9nsd_000483	OC12CC1OC2
dsgdb9nsd_000484	C#CC#CC#C
dsgdb9nsd_000485	C#CC#CC#N
dsgdb9nsd_000486	N#CC#CC#N
dsgdb9nsd_000487	C#CCCC#C
dsgdb9nsd_000488	C#CCCC#N
dsgdb9nsd_000489	N#CCCC#N
dsgdb9nsd_000490	O=CC#CC#C
dsgdb9nsd_000491	O=CC#CC#N
dsgdb9nsd_000492	O=CC#CC=O
dsgdb9nsd_000493	N=COCC#C
dsgdb9nsd_000494	N=COCC#N
dsgdb9nsd_000495	O=CCCC#C
dsgdb9nsd_000496	O=CCCC#N
dsgdb9nsd_000497	O=CNCC#C
dsgdb9nsd_000498	O=CNCC#N
dsgdb9nsd_000499	O=COCC#C
dsgdb9nsd_000500	O=COCC#N
dsgdb9nsd_000501	N=COCC=O
dsgdb9nsd_000502	O=CCCC=O
dsgdb9nsd_000503	O=CCNC=O
dsgdb9nsd_000504	O=CCOC=O
dsgdb9nsd_000505	CC#CC#CC
dsgdb9nsd_000506	CC#CCC#C
dsgdb9nsd_000507	CC#CCC#N
dsgdb9nsd_000508	CC#CCC=O
dsgdb9nsd_000509	CN=CNC=O
dsgdb9nsd_000510	CN=COC=O
dsgdb9nsd_000511	CCC#CC#C
dsgdb9nsd_000512	CCC#CC#N
dsgdb9nsd_000513	OCC#CC#C
dsgdb9nsd_000514	OCC#CC#N
dsgdb9nsd_000515	CCC#CC=O
dsgdb9nsd_000516	OCC#CC=O
dsgdb9nsd_000518	CCC#CCO
dsgdb9nsd_000519	OCC#CCO
dsgdb9nsd_000521	CC#CCCO
dsgdb9nsd_000523	COCC#CC
dsgdb9nsd_000527	CCNCC#N
dsgdb9nsd_000528	CCOCC#C
dsgdb9nsd_000529	CCOCC#N
dsgdb9nsd_000530	COCCC#C
dsgdb9nsd_000531	COCCC#N
dsgdb9nsd_000532	OCCCC#C
dsgdb9nsd_000533	OCCCC#N
dsgdb9nsd_000536	CCCOC=O
dsgdb9nsd_000537	CCOCC=O
dsgdb9nsd_000538	COCCC=O
dsgdb9nsd_000539	OCCCC=O
dsgdb9nsd_000540	OCCNC=O
dsgdb9nsd_000541	OCCOC=N
dsgdb9nsd_000542	OCCOC=O
dsgdb9nsd_000551	C#CC1CCC1
dsgdb9nsd_000552	C#CC1CCO1
dsgdb9nsd_000553	C#CC1COC1
dsgdb9nsd_000554	N#CC1CCC1
dsgdb9nsd_000555	N#CC1CCN1
dsgdb9nsd_000556	N#CC1CCO1
dsgdb9nsd_000557	N#CC1COC1
dsgdb9nsd_000558	O=CC1CCC1
dsgdb9nsd_000559	O=CC1CCO1
dsgdb9nsd_000560	O=CC1COC1
dsgdb9nsd_000561	O=CN1CCC1
dsgdb9nsd_000562	CN=C1CCO1
dsgdb9nsd_000567	COC1COC1
dsgdb9nsd_000569	OCC1CCO1
dsgdb9nsd_000570	OCC1COC1
dsgdb9nsd_000571	C#CCC1CC1
dsgdb9nsd_000572	C#CCC1CO1
dsgdb9nsd_000573	C#CCN1CC1
dsgdb9nsd_000574	N#CCC1CC1
dsgdb9nsd_000575	N#CCC1CN1
dsgdb9nsd_000576	N#CCC1CO1
dsgdb9nsd_000577	N#CCN1CC1
dsgdb9nsd_000578	N=COC1CC1
dsgdb9nsd_000579	O=CCC1CC1
dsgdb9nsd_000580	O=CCC1CN1
dsgdb9nsd_000581	O=CCC1CO1
dsgdb9nsd_000582	O=CCN1CC1
dsgdb9nsd_000583	O=CNC1CC1
dsgdb9nsd_000584	O=COC1CC1
dsgdb9nsd_000585	CC#CC1CC1
dsgdb9nsd_000586	CC#CC1CN1
dsgdb9nsd_000587	CC#CC1CO1
dsgdb9nsd_000594	COCC1CO1
dsgdb9nsd_000596	OCCC1CO1
dsgdb9nsd_000598	CC1CC1C#C
dsgdb9nsd_000599	CC1CC1C#N
dsgdb9nsd_000600	CC1NC1C#C
dsgdb9nsd_000601	CC1NC1C#N
dsgdb9nsd_000602	CC1OC1C#C
dsgdb9nsd_000603	CC1OC1C#N
dsgdb9nsd_000604	CN1CC1C#C
dsgdb9nsd_000605	CN1CC1C#N
dsgdb9nsd_000606	OC1CC1C#C
dsgdb9nsd_000607	OC1CC1C#N
dsgdb9nsd_000608	CC1CC1C=O
dsgdb9nsd_000609	CC1CN1C=O
dsgdb9nsd_000610	CC1NC1C=O
dsgdb9nsd_000611	CC1OC1C=O
dsgdb9nsd_000612	CN1CC1C=O
dsgdb9nsd_000613	OC1CC1C=O
dsgdb9nsd_000616	CC1OC1CO
dsgdb9nsd_000624	COC1CC1O
dsgdb9nsd_000625	OCC1CC1O
dsgdb9nsd_000626	CC(=O)C1CC1
dsgdb9nsd_000627	CC(=O)C1CN1
dsgdb9nsd_000628	CC(=O)C1CO1
dsgdb9nsd_000629	CC(=O)N1CC1
dsgdb9nsd_000630	NC(=O)C1CC1
dsgdb9nsd_000631	NC(=O)C1CN1
dsgdb9nsd_000632	NC(=O)C1CO1
dsgdb9nsd_000633	NC(=O)N1CC1
dsgdb9nsd_000639	CC(O)C1CO1
dsgdb9nsd_000641	C1CC11CCO1
dsgdb9nsd_000642	C1CC11COC1
dsgdb9nsd_000643	C1NC11COC1
dsgdb9nsd_000644	C1OC11CCC1
dsgdb9nsd_000645	C1OC11COC1
dsgdb9nsd_000646	C1C2CC1C=C2
dsgdb9nsd_000647	C1C2OC1C=C2
dsgdb9nsd_000649	C1C2CC1OC2
dsgdb9nsd_000650	C1C2CCC1O2
dsgdb9nsd_000652	CC1C2CC1O2
dsgdb9nsd_000653	OC1C2CC1C2
dsgdb9nsd_000654	OC1C2CC1O2
dsgdb9nsd_000655	C1CC=CCO1
dsgdb9nsd_000657	C1COC=NC1
dsgdb9nsd_000660	C1COCCO1
dsgdb9nsd_000661	C1COCOC1
dsgdb9nsd_000663	C1CC2OCC12
dsgdb9nsd_000664	C1OC2COC12
dsgdb9nsd_000666	CC1C2COC12
dsgdb9nsd_000667	OC1C2CCC12
dsgdb9nsd_000668	OC1C2COC12
dsgdb9nsd_000669	C1C2CC=CC12
dsgdb9nsd_000670	C1C2OC=NC12
dsgdb9nsd_000671	C1C=CC2NC12
dsgdb9nsd_000672	C1C=CC2OC12
dsgdb9nsd_000674	C1C2CCOC12
dsgdb9nsd_000675	C1C2COCC12
dsgdb9nsd_000676	C1C2OCOC12
dsgdb9nsd_000677	C1CC2OC2C1
dsgdb9nsd_000678	C1OCC2NC12
dsgdb9nsd_000679	C1OCC2OC12
dsgdb9nsd_000680	N=C1OC2CC12
dsgdb9nsd_000681	O=C1CC2CC12
dsgdb9nsd_000682	O=C1CC2CN12
dsgdb9nsd_000683	O=C1CC2NC12
dsgdb9nsd_000684	O=C1CC2OC12
dsgdb9nsd_000685	O=C1CN2CC12
dsgdb9nsd_000686	O=C1NC2CC12
dsgdb9nsd_000687	O=C1OC2CC12
dsgdb9nsd_000689	CC1CC2OC12
dsgdb9nsd_000690	CC1OC2CC12
dsgdb9nsd_000691	OC1CC2CC12
dsgdb9nsd_000692	OC1CC2NC12
dsgdb9nsd_000693	OC1CC2OC12
dsgdb9nsd_000694	OC1CN2CC12
dsgdb9nsd_000695	C1C2C3CC2C13
dsgdb9nsd_000696	C1C2C3CN2C13
dsgdb9nsd_000697	C1C2C3OC2C13
dsgdb9nsd_000698	N1C2C3NC2C13
dsgdb9nsd_000699	N1C2C3OC2C13
dsgdb9nsd_000700	O1C2C3OC2C13
dsgdb9nsd_000702	C1CC1C1CO1
dsgdb9nsd_000704	C1NC1C1CN1
dsgdb9nsd_000705	C1NC1C1CO1
dsgdb9nsd_000706	C1OC1C1CO1
dsgdb9nsd_000707	C1C2C1C1CC21
dsgdb9nsd_000708	C1C2C1C1NC21
dsgdb9nsd_000709	C1C2C1C1OC21
dsgdb9nsd_000710	C1C2C1N1CC21
dsgdb9nsd_000711	N1C2C1C1NC21
dsgdb9nsd_000712	N1C2C1C1OC21
dsgdb9nsd_000713	O1C2C1C1OC21
dsgdb9nsd_000714	C1C2C3C1CN23
dsgdb9nsd_000715	C1C2C3CC1C23
dsgdb9nsd_000716	C1C2C3CC1N23
dsgdb9nsd_000717	C1C2C3CN1C23
dsgdb9nsd_000718	C1C2C3OC1C23
dsgdb9nsd_000719	C12C3C1C1C2C31
dsgdb9nsd_000720	C12C3C1N1C2C31
dsgdb9nsd_000721	C1=CN=NC=C1
dsgdb9nsd_000722	C1=CN=NN=C1
dsgdb9nsd_000723	C1=NN=CN=N1
dsgdb9nsd_000724	C1=NN=NC=N1
dsgdb9nsd_000725	C1=NN=NN=C1
dsgdb9nsd_000726	CC1=CC=NN1
dsgdb9nsd_000727	CC1=CC=NO1
dsgdb9nsd_000728	CC1=CN=NN1
dsgdb9nsd_000729	CC1=CN=NO1
dsgdb9nsd_000730	CC1=CNN=C1
dsgdb9nsd_000731	CC1=CNN=N1
dsgdb9nsd_000732	CC1=CON=C1
dsgdb9nsd_000733	CC1=CON=N1
dsgdb9nsd_000734	CC1=NC=NN1
dsgdb9nsd_000735	CC1=NC=NO1
dsgdb9nsd_000736	CC1=NNC=C1
dsgdb9nsd_000737	CC1=NNC=N1
dsgdb9nsd_000738	CC1=NNN=C1
dsgdb9nsd_000739	CC1=NNN=N1
dsgdb9nsd_000740	CC1=NOC=C1
dsgdb9nsd_000741	CC1=NOC=N1
dsgdb9nsd_000742	CC1=NON=C1
dsgdb9nsd_000743	CC1=NON=N1
dsgdb9nsd_000744	CN1C=CC=N1
dsgdb9nsd_000745	CN1C=CN=N1
dsgdb9nsd_000746	CN1C=NC=N1
dsgdb9nsd_000747	CN1C=NN=C1
dsgdb9nsd_000748	CN1C=NN=N1
dsgdb9nsd_000749	CN1N=CC=N1
dsgdb9nsd_000750	CN1N=CN=N1
dsgdb9nsd_000751	CN1N=NN=N1
dsgdb9nsd_000756	NC1=CC=NN1
dsgdb9nsd_000757	NC1=CC=NO1
dsgdb9nsd_000758	NC1=CN=NN1
dsgdb9nsd_000759	NC1=CN=NO1
dsgdb9nsd_000760	NC1=CNN=C1
dsgdb9nsd_000761	NC1=CNN=N1
dsgdb9nsd_000762	NC1=CON=C1
dsgdb9nsd_000763	NC1=CON=N1
dsgdb9nsd_000764	NC1=NC=NN1
dsgdb9nsd_000765	NC1=NC=NO1
dsgdb9nsd_000766	NC1=NNC=C1
dsgdb9nsd_000767	NC1=NNC=N1
dsgdb9nsd_000768	NC1=NNN=C1
dsgdb9nsd_000769	NC1=NNN=N1
dsgdb9nsd_000770	NC1=NOC=C1
dsgdb9nsd_000771	NC1=NOC=N1
dsgdb9nsd_000772	NC1=NON=C1
dsgdb9nsd_000773	NC1=NON=N1
dsgdb9nsd_000774	O=C1NC=NN1
dsgdb9nsd_000775	O=C1NC=NO1
dsgdb9nsd_000776	O=C1NN=NN1
dsgdb9nsd_000777	O=C1NN=NO1
dsgdb9nsd_000778	O=C1OC=NO1
